audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
QXxxl8ckqDY,0.0,36.52,36.52,SPEAKER_01,"Estamos saliendo del parón de selecciones, vuelve la Premier League y para retomar toda esta dinámica del fútbol de liga de primera división inglesa, hoy os vamos a decir una cosa que nos ha gustado de cada club de la Premier y una cosa que no nos ha gustado en este inicio. Y para darle variedad, pues cada uno de los tres, Pablo, Chozas y yo hemos escogido una cosa que nos ha gustado y una cosa que no. ¿Cuál ha sido la mayor putada? Pues que yo he llegado al último. Entonces la mayor parte de las cosas pues ya las habéis dicho vosotros, así que he tenido que ser creativo.",578,112
QXxxl8ckqDY,36.52,48.36,11.839999999999996,SPEAKER_00,"Hay que explicar que Chozas fue el primero. Así que cuando... Bueno, y dejé cosas. No, si todo el mundo decís, joe, me gustan más las opciones de Chozas. Es decir, que a mí también me gustan. Yo hubiera puesto la de Chozas si yo hubiera podido.",244,47
QXxxl8ckqDY,48.36,81.96,33.599999999999994,SPEAKER_01,"Hemos querido hacer una especie de repaso también con un poco de opinión para situarnos sobre los 20 equipos de la Premier League. Así que la premisa es muy sencilla. Una cosa que nos ha gustado de cada uno, una cosa que no nos ha gustado de cada uno, puede ser cualquier cosa. Es de un aspecto más grupal o de equipo, como un aspecto más individual de un jugador o cosas que te han querido la directiva. Que no le ha gustado la camiseta, los colores. Podría ser la camiseta, aunque no lo hemos elegido. Empezamos. Vamos a hacer el orden según la clasificación después de esta séptima jornada con el Arsenal. Así que vamos allá. Chozas, ¿qué es lo que te ha gustado del Arsenal?",678,127
QXxxl8ckqDY,81.96,96.2,14.240000000000009,SPEAKER_00,"Tengo ninguna duda. Martín Zubimendi. Me parece que no ha necesitado ningún tipo de periodo de adaptación a la Premier League y que aparte de lo que ya le presuponíamos en fase defensiva, en fase ofensiva está aportando muchísimo. Último pase, penúltimo y golazos.",264,44
QXxxl8ckqDY,96.2,99.56,3.3599999999999994,SPEAKER_01,"Y golazos además. Pablo, ¿qué es lo que te ha gustado del Arsenal?",66,13
QXxxl8ckqDY,99.56,126.92,27.36,SPEAKER_00,"Calafiori. Por primera vez en el Arsenal está siendo importante. Además, también está teniendo continuidad física, que el año pasado tuvo muchas lesiones. Yo me lo esperaba como un lateral que iba a ser importante en el Arsenal. Teniendo mucho recorrido porque esa banda izquierda iba a ser para Beretsi ese. Cuando lo ha tenido que hacer, lo ha hecho bien, porque a mí me ha gustado mucho cuando se ha metido por dentro. Le ha quitado el post a Mariusz Skelly, merecidamente, y eso son palabras mayores, porque Luis Skelly venía hace un temporada. Así que mi gran sorpresa y lo que más me ha gustado es Calafiori.",614,109
QXxxl8ckqDY,126.92,180.68,53.760000000000005,SPEAKER_01,"A mí lo que más me ha gustado del Arsenal es, en definitiva, la rotación. La rotación en general, porque haciendo un análisis de este inicio de temporada, ves que en el Arsenal cae Salibá y rinde Mosquera a la perfección. Calafiori le quita el puesto a Luis Skelly, como habíamos dicho hace un momento con Pablo. Falta Bukayo Saka y lo hace francamente bien Noni Madueke. Martinelli y Trossart tienen que exprimir cada minuto que tienen. En el centro del campo ahora mismo está carísimo entrar más allá de Kezu y Mendy, Reis, Páez Canito Cables, pero Odegaard, Eberechi ese, los problemas incluso para Noaneri para entrar. Merino. Es un equipo en el que ahora mismo, entendido desde una perspectiva positiva, es muy caro entrar en el once porque la rotación está funcionando y eso le está haciendo mucho bien al Arsenal. Acordaros que hay jugadores como Ben White que hacen mucho de las fundamentales para el Arsenal. A ver ahora, quién le hace un hueco a Ben White en esta rotación.",983,173
QXxxl8ckqDY,180.68,187.24,6.560000000000002,SPEAKER_00,"Encapié cuando vuelva de la lesión y tal, encapié, venía con aura de casi poder ser titular y mira el momento.",110,21
QXxxl8ckqDY,187.24,190.24,3.0,SPEAKER_01,¿Qué es lo que nos ha gustado del Arsenal?,42,9
QXxxl8ckqDY,190.24,247.28,57.03999999999999,SPEAKER_00,"A mí la gestión de minutos de Noaneri y de Miles Luis Skelly, a pesar de que Calafiori está muy bien, no entiendo que estén teniendo tan pocos minutos. Entre ambos suman menos de 250 minutos y ninguno de ellos ha sido titular todavía en la Premier League y sobre todo me sorprende lo de Noaneri viendo las lesiones de Odegaard. Lo que menos me ha gustado del Arsenal es que cambiemos el orden en el que empezamos los vídeos, ya no lo hacemos por orden alfabético, lo hacemos en clasificación y el Arsenal sigue siendo el primero. No nos gusta. Nada, de quitando, increíble eso, quitando ese punto, lo que menos me ha gustado es que me ha excepcionado el Arsenal tanto en juego como en resultados en los días grandes, con el 1-1 con el goal de Soboslay y empate 1-1 contra el City con el goal de Martinelli en el último momento. Insisto, no me ha gustado ni el juego de Arsenal en esos partidos, creo que podía haber sido más propositivo y ser más dominador en esos partidos tanto contra el Liverpool como contra el City y tampoco me han gustado los resultados. Pierdes contra el Liverpool y empatas contra el City.",1114,206
